Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.52      0.08     0.08   946731     0.00     0.00  aabb::hit(Ray const&, Interval) const
  8.33      0.15     0.07     3964     0.02     0.02  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  4.76      0.19     0.04  6960757     0.00     0.00  Vec3::operator[](unsigned long) const
  4.76      0.23     0.04   230088     0.00     0.00  std::__atomic_base<int>::operator--(int)
  4.76      0.27     0.04   147184     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  2.98      0.29     0.03  1121647     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  2.38      0.32     0.02  4674125     0.00     0.00  double const& std::min<double>(double const&, double const&)
  2.38      0.34     0.02  3450226     0.00     0.00  Vec3::get_z() const
  2.38      0.35     0.02  1193995     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::get() const
  2.38      0.38     0.02  1136136     0.00     0.00  std::__shared_ptr_access<hittable, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  2.38      0.40     0.02   654438     0.00     0.00  operator+(Vec3 const&, Vec3 const&)
  2.38      0.41     0.02   435300     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  2.38      0.43     0.02   429237     0.00     0.00  std::mutex::lock()
  2.38      0.46     0.02   424980     0.00     0.00  std::unique_lock<std::mutex>::lock()
  2.38      0.47     0.02   251115     0.00     0.00  hittable_list::hit(Ray const&, Interval, hit_record&) const
  2.38      0.49     0.02   213417     0.00     0.00  ThreadPool::enqueue(std::function<void ()>)
  2.38      0.52     0.02   209289     0.00     0.00  std::__atomic_base<int>::operator++(int)
  2.38      0.54     0.02   102413     0.00     0.00  sphere::hit(Ray const&, Interval, hit_record&) const
